name;country;source1;source2;source3;source4;iso3n;eu28
tanzania;tanzania;police;border;pesel;udsc;834;NA
tanzania;tanzańskie;NA;NA;zus;NA;834;NA
timor wschodni;timor wschodni;NA;NA;pesel;NA;626;NA
togo;togijskie;NA;NA;zus;NA;768;NA
togo;togo;police;border;pesel;NA;768;NA
tonga;tonga;NA;NA;pesel;NA;776;NA
trynidad i tobago;trynidad i tobago;NA;NA;pesel;NA;780;NA
trynidad i tobago;trynidadzko-tobagijskie;NA;NA;zus;NA;780;NA
tunezja;tunezja;police;border;pesel;udsc;788;NA
tunezja;tunezyjskie;NA;NA;zus;NA;788;NA
turcja;turcja;police;border;pesel;udsc;792;NA
turcja;tureckie;NA;NA;zus;NA;792;NA
turkmenistan;turkmenistan;NA;border;pesel;udsc;795;NA
turkmenistan;turkmenistan (turkmenia);police;NA;NA;NA;795;NA
turkmenistan;turkmeńskie;NA;NA;zus;NA;795;NA
uganda;uganda;police;border;pesel;udsc;800;NA
uganda;ugandyjskie;NA;NA;zus;NA;800;NA
ukraina;ukraina;police;border;pesel;udsc;804;NA
ukraina;ukraińskie;NA;NA;zus;NA;804;NA
urugwaj;urugwaj;NA;border;pesel;udsc;858;NA
urugwaj;urugwajskie;NA;NA;zus;NA;858;NA
stany zjednoczone;usa (stany zjednoczone ameryki);police;NA;NA;NA;840;NA
uzbekistan;uzbeckie;NA;NA;zus;NA;860;NA
uzbekistan;uzbekistan;police;border;pesel;udsc;860;NA
vanuatu;vanuatu;police;NA;NA;NA;548;NA
korea południowa;w tym****):  południowo koreańskie;NA;NA;zus;NA;410;NA
watykan;watykan;police;NA;pesel;NA;336;NA
watykan;watykańskie;NA;NA;zus;NA;336;NA
węgry;węgierskie;NA;NA;zus;NA;348;EU
węgry;węgry;police;NA;pesel;NA;348;EU
wenezuela;wenezuela;police;border;pesel;udsc;862;NA
wenezuela;wenezuelskie;NA;NA;zus;NA;862;NA
wielka brytania;wielka brytania;police;NA;pesel;NA;826;EU
wietnam;wietnam;police;border;pesel;udsc;704;NA
wietnam;wietnamskie;NA;NA;zus;NA;704;NA
włochy;włochy;police;NA;pesel;NA;380;EU
włochy;włoskie;NA;NA;zus;NA;380;EU
wybrzeże kości słoniowej;wybrzeże kości słoniowej;police;border;pesel;udsc;384;NA
wybrzeże kości słoniowej;wybrzeże kości słoniowej;NA;NA;zus;udsc;384;NA
wyspy świętego tomasza i książęca;wyspy św.tomasza i książęca;NA;NA;zus;NA;678;NA
wyspy świętego tomasza i książęca;wyspy świętego tomasza i książęca;NA;NA;pesel;NA;678;NA
demokratyczna republika konga;zairskie;NA;NA;zus;NA;180;NA
zambia;zambia;NA;border;pesel;udsc;894;NA
zambia;zambijskie;NA;NA;zus;NA;894;NA
zimbabwe;zimbabwe;NA;border;pesel;udsc;716;NA
zimbabwe;zimbabwe;NA;NA;zus;udsc;716;NA
zimbabwe;zimbabwe (rodezja);police;NA;NA;NA;716;NA
zjednoczone emiraty arabskie;zjednoczone emiraty arabskie;police;NA;pesel;udsc;784;NA
kraj nieustalony;zsrr;police;NA;pesel;NA;999;NA
macedonia;b. j. republika macedonii;NA;NA;NA;udsc;807;NA
kraj nieustalony;bez obywatelstwa;NA;NA;NA;udsc;999;NA
burkina faso;burkina faso (d. górna wolta);NA;NA;NA;udsc;854;NA
mołdawia;mołdowa;NA;NA;NA;udsc;498;NA
kraj nieustalony;nieokreślony;NA;NA;NA;udsc;999;NA
stany zjednoczone;stany zjednoczone ameryki;NA;NA;NA;udsc;840;NA
wyspy marshalla;wyspy marshalla;NA;NA;NA;udsc;584;NA
